
Trained 200 at 57.62289071083069 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.899', '1.561', '0.314']
Trained 348 at 1168.937504529953 seconds for [189, 1454, 1398] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 352 at 1174.2326979637146 seconds for [391, 1354, 1409] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 356 at 1179.6329395771027 seconds for [535, 1262, 1377] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 360 at 1184.8785667419434 seconds for [697, 1108, 1316] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 364 at 1190.5274744033813 seconds for [823, 1050, 1459] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 368 at 1196.3605127334595 seconds for [884, 986, 1587] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 372 at 1202.0963833332062 seconds for [911, 920, 1563] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 376 at 1207.587142944336 seconds for [956, 794, 1494] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 380 at 1213.0302500724792 seconds for [961, 686, 1403] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 384 at 1218.1778962612152 seconds for [994, 710, 1312] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 388 at 1223.1066086292267 seconds for [1001, 708, 1194] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 392 at 1227.8691267967224 seconds for [1024, 700, 1110] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 396 at 1232.6025803089142 seconds for [1037, 711, 1035] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 400 at 1237.1706011295319 seconds for [1055, 725, 947] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 404 at 1241.7104532718658 seconds for [1057, 742, 891] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 408 at 1246.2527470588684 seconds for [1073, 773, 839] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 412 at 1250.8765404224396 seconds for [1128, 791, 786] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 416 at 1255.5376908779144 seconds for [1182, 822, 734] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 420 at 1260.2666256427765 seconds for [1233, 818, 714] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 424 at 1265.0488939285278 seconds for [1248, 825, 749] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 428 at 1269.6787719726562 seconds for [1227, 800, 724] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 432 at 1274.1959772109985 seconds for [1213, 783, 691] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 436 at 1278.5913043022156 seconds for [1186, 752, 666] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 440 at 1282.90163230896 seconds for [1124, 762, 650] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 444 at 1286.9408853054047 seconds for [1053, 726, 621] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 448 at 1290.7339503765106 seconds for [947, 683, 599] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 452 at 1294.2551591396332 seconds for [877, 645, 575] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 456 at 1297.6453244686127 seconds for [839, 605, 548] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 460 at 1300.8499236106873 seconds for [791, 580, 527] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 464 at 1303.903212070465 seconds for [743, 567, 511] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 468 at 1306.8460083007812 seconds for [703, 553, 497] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 472 at 1309.7110676765442 seconds for [675, 518, 488] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 476 at 1312.795301437378 seconds for [677, 491, 484] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 480 at 1315.702509880066 seconds for [700, 480, 479] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 484 at 1318.5953741073608 seconds for [716, 488, 492] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 488 at 1321.4636969566345 seconds for [716, 477, 495] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 492 at 1324.370285987854 seconds for [726, 476, 500] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 496 at 1327.2575874328613 seconds for [715, 464, 522] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 500 at 1330.1142506599426 seconds for [720, 468, 523] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 504 at 1332.9516158103943 seconds for [697, 473, 543] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 508 at 1335.8006958961487 seconds for [679, 475, 504] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 512 at 1338.6677346229553 seconds for [672, 472, 531] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 516 at 1341.4299566745758 seconds for [637, 476, 533] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 520 at 1344.2883291244507 seconds for [646, 483, 528] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 524 at 1347.056027173996 seconds for [621, 490, 526] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 528 at 1349.8959426879883 seconds for [617, 519, 515] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 532 at 1352.7557382583618 seconds for [598, 565, 514] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 536 at 1355.6863927841187 seconds for [625, 596, 518] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 540 at 1358.7614619731903 seconds for [643, 628, 527] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 544 at 1361.8490705490112 seconds for [630, 657, 535] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 548 at 1364.9009308815002 seconds for [618, 635, 545] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 552 at 1368.1793866157532 seconds for [606, 733, 569] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 556 at 1371.7668116092682 seconds for [606, 795, 593] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 560 at 1375.2566847801208 seconds for [619, 806, 614] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 564 at 1378.8003232479095 seconds for [629, 820, 623] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 568 at 1382.328024148941 seconds for [643, 805, 630] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 1385.876769542694 seconds for [649, 794, 634] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 1389.3162117004395 seconds for [633, 761, 628] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 1392.5589587688446 seconds for [611, 691, 615] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 1395.6468048095703 seconds for [582, 645, 591] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 1398.6675276756287 seconds for [579, 639, 576] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 1401.6817600727081 seconds for [590, 636, 534] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 1404.6314480304718 seconds for [585, 659, 503] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 1407.5025522708893 seconds for [578, 693, 445] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 200 at 1450.1447415351868 seconds for [10000, 10000, 5244] epochs and to a loss of ['0.893', '1.161', '0.2']
Trained 204 at 1483.464527606964 seconds for [10000, 10000, 473] epochs and to a loss of ['0.779', '1.106', '0.2']
Trained 208 at 1516.8814158439636 seconds for [10000, 10000, 600] epochs and to a loss of ['0.754', '1.088', '0.2']
Trained 212 at 1550.4098680019379 seconds for [10000, 10000, 710] epochs and to a loss of ['0.744', '1.082', '0.2']
Trained 216 at 1584.0503611564636 seconds for [10000, 10000, 829] epochs and to a loss of ['0.739', '1.08', '0.2']
Trained 220 at 1617.8296341896057 seconds for [10000, 10000, 941] epochs and to a loss of ['0.737', '1.079', '0.2']
Trained 224 at 1651.5924272537231 seconds for [10000, 10000, 1070] epochs and to a loss of ['0.735', '1.078', '0.2']
Trained 228 at 1685.833153963089 seconds for [10000, 10000, 1206] epochs and to a loss of ['0.735', '1.078', '0.2']
Trained 232 at 1720.1823768615723 seconds for [10000, 10000, 1331] epochs and to a loss of ['0.733', '1.078', '0.2']
Trained 236 at 1754.7311325073242 seconds for [10000, 10000, 1481] epochs and to a loss of ['0.733', '1.074', '0.2']
Trained 240 at 1790.0395646095276 seconds for [10000, 10000, 1723] epochs and to a loss of ['0.733', '1.071', '0.2']
Trained 244 at 1826.0061523914337 seconds for [10000, 10000, 2021] epochs and to a loss of ['0.733', '1.071', '0.2']
Trained 248 at 1862.149493932724 seconds for [10000, 10000, 2277] epochs and to a loss of ['0.733', '1.071', '0.2']
Trained 252 at 1898.0981516838074 seconds for [10000, 10000, 2267] epochs and to a loss of ['0.733', '1.072', '0.2']
Trained 256 at 1935.0783219337463 seconds for [10000, 10000, 2725] epochs and to a loss of ['0.733', '1.072', '0.2']
Trained 260 at 1972.1480379104614 seconds for [10000, 10000, 2982] epochs and to a loss of ['0.733', '1.072', '0.2']
Trained 264 at 2009.3229804039001 seconds for [10000, 10000, 3032] epochs and to a loss of ['0.733', '1.073', '0.2']
Trained 268 at 2046.2437732219696 seconds for [10000, 10000, 2883] epochs and to a loss of ['0.726', '1.075', '0.2']
Trained 272 at 2083.5426392555237 seconds for [10000, 10000, 3024] epochs and to a loss of ['0.726', '1.076', '0.2']
Trained 276 at 2121.3509006500244 seconds for [10000, 10000, 2922] epochs and to a loss of ['0.726', '1.077', '0.2']
Trained 280 at 2158.729010105133 seconds for [10000, 10000, 2999] epochs and to a loss of ['0.726', '1.078', '0.2']
Trained 284 at 2195.8050956726074 seconds for [10000, 10000, 2857] epochs and to a loss of ['0.727', '1.08', '0.2']
Trained 288 at 2232.713900089264 seconds for [10000, 10000, 2583] epochs and to a loss of ['0.72', '1.08', '0.2']
Trained 292 at 2268.6845502853394 seconds for [10000, 10000, 2275] epochs and to a loss of ['0.719', '1.08', '0.2']
Trained 296 at 2304.20836353302 seconds for [10000, 10000, 1995] epochs and to a loss of ['0.713', '1.081', '0.2']
Trained 300 at 2339.259440422058 seconds for [10000, 10000, 1684] epochs and to a loss of ['0.705', '1.08', '0.2']
Trained 304 at 2374.0032727718353 seconds for [10000, 10000, 1436] epochs and to a loss of ['0.705', '1.081', '0.2']
Trained 308 at 2409.7754323482513 seconds for [10000, 10000, 1218] epochs and to a loss of ['0.705', '1.08', '0.2']
Trained 312 at 2443.906925201416 seconds for [10000, 10000, 1030] epochs and to a loss of ['0.705', '0.758', '0.2']
Trained 316 at 2478.00537109375 seconds for [10000, 10000, 952] epochs and to a loss of ['0.705', '0.754', '0.2']
Trained 320 at 2512.400859117508 seconds for [10000, 10000, 1283] epochs and to a loss of ['0.705', '0.753', '0.2']
Trained 324 at 2547.340849876404 seconds for [10000, 10000, 1512] epochs and to a loss of ['0.706', '0.748', '0.2']
Trained 328 at 2582.88738656044 seconds for [10000, 10000, 1719] epochs and to a loss of ['0.706', '0.744', '0.2']
Trained 332 at 2619.155309200287 seconds for [10000, 10000, 1812] epochs and to a loss of ['0.706', '0.745', '0.2']
Trained 336 at 2655.3775641918182 seconds for [10000, 10000, 1799] epochs and to a loss of ['0.706', '0.747', '0.2']
Trained 340 at 2691.510021686554 seconds for [10000, 10000, 1783] epochs and to a loss of ['0.706', '0.749', '0.2']
Trained 344 at 2727.893634557724 seconds for [10000, 10000, 1886] epochs and to a loss of ['0.706', '0.751', '0.2']
Trained 348 at 2764.1164515018463 seconds for [10000, 10000, 1963] epochs and to a loss of ['0.706', '0.752', '0.2']
Trained 352 at 2800.62141084671 seconds for [10000, 10000, 2012] epochs and to a loss of ['0.705', '0.742', '0.2']
Trained 356 at 2837.3302145004272 seconds for [10000, 10000, 2126] epochs and to a loss of ['0.698', '0.738', '0.2']
Trained 360 at 2874.1828413009644 seconds for [10000, 10000, 2217] epochs and to a loss of ['0.698', '0.426', '0.2']
Trained 364 at 2910.8261168003082 seconds for [10000, 10000, 2229] epochs and to a loss of ['0.698', '0.42', '0.2']
Trained 368 at 2947.573588371277 seconds for [10000, 10000, 2289] epochs and to a loss of ['0.698', '0.41', '0.2']
Trained 372 at 2983.2689139842987 seconds for [10000, 10000, 1661] epochs and to a loss of ['0.698', '0.401', '0.2']
Trained 376 at 3019.2607777118683 seconds for [10000, 10000, 1642] epochs and to a loss of ['0.698', '0.399', '0.2']
Trained 380 at 3055.986129760742 seconds for [10000, 10000, 2208] epochs and to a loss of ['0.695', '0.397', '0.2']
Trained 384 at 3092.954710483551 seconds for [10000, 10000, 2368] epochs and to a loss of ['0.692', '0.394', '0.2']
Trained 388 at 3130.035084962845 seconds for [10000, 10000, 2248] epochs and to a loss of ['0.693', '0.386', '0.2']
Trained 392 at 3166.4874126911163 seconds for [10000, 10000, 1931] epochs and to a loss of ['0.696', '0.386', '0.2']
Trained 396 at 3202.180285692215 seconds for [10000, 10000, 1536] epochs and to a loss of ['0.697', '0.378', '0.2']
Trained 400 at 3237.1813666820526 seconds for [10000, 10000, 1221] epochs and to a loss of ['0.698', '0.377', '0.2']
Trained 404 at 3271.901342153549 seconds for [10000, 10000, 1011] epochs and to a loss of ['0.698', '0.376', '0.2']
Trained 408 at 3306.741466283798 seconds for [10000, 10000, 868] epochs and to a loss of ['0.695', '0.374', '0.2']
Trained 412 at 3341.044191837311 seconds for [10000, 10000, 773] epochs and to a loss of ['0.692', '0.373', '0.2']
Trained 416 at 3375.2495114803314 seconds for [10000, 10000, 702] epochs and to a loss of ['0.69', '0.371', '0.2']
Trained 420 at 3409.388125181198 seconds for [10000, 10000, 652] epochs and to a loss of ['0.674', '0.37', '0.2']
Trained 424 at 3443.491707086563 seconds for [10000, 10000, 618] epochs and to a loss of ['0.363', '0.368', '0.2']
Trained 428 at 3477.493438720703 seconds for [10000, 10000, 650] epochs and to a loss of ['0.36', '0.367', '0.2']
Trained 432 at 3511.6353204250336 seconds for [10000, 10000, 725] epochs and to a loss of ['0.355', '0.366', '0.2']
Trained 436 at 3530.5659255981445 seconds for [696, 10000, 765] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 440 at 3548.4892971515656 seconds for [108, 10000, 789] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 444 at 3566.9359424114227 seconds for [302, 10000, 819] epochs and to a loss of ['0.2', '0.364', '0.2']
Trained 448 at 3585.6409800052643 seconds for [441, 10000, 808] epochs and to a loss of ['0.199', '0.365', '0.2']
Trained 452 at 3604.4677379131317 seconds for [549, 10000, 775] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 456 at 3623.211935043335 seconds for [589, 10000, 737] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 460 at 3641.885385274887 seconds for [587, 10000, 698] epochs and to a loss of ['0.2', '0.365', '0.2']
Trained 464 at 3660.491885662079 seconds for [588, 10000, 662] epochs and to a loss of ['0.2', '0.366', '0.2']
Trained 468 at 3679.1316843032837 seconds for [583, 10000, 671] epochs and to a loss of ['0.2', '0.366', '0.2']
Trained 472 at 3697.642091989517 seconds for [573, 10000, 639] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 476 at 3715.8910348415375 seconds for [555, 10000, 599] epochs and to a loss of ['0.2', '0.367', '0.2']
Trained 480 at 3734.3669385910034 seconds for [545, 10000, 580] epochs and to a loss of ['0.2', '0.368', '0.2']
Trained 484 at 3752.6952266693115 seconds for [533, 10000, 586] epochs and to a loss of ['0.2', '0.369', '0.2']
Trained 488 at 3771.04120016098 seconds for [515, 10000, 609] epochs and to a loss of ['0.2', '0.37', '0.2']
Trained 492 at 3782.390030145645 seconds for [506, 5692, 610] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 496 at 3784.263081073761 seconds for [485, 49, 576] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 500 at 3786.172502040863 seconds for [470, 114, 543] epochs and to a loss of ['0.2', '0.199', '0.2']
Trained 504 at 3788.2397043704987 seconds for [461, 232, 527] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 508 at 3790.39981174469 seconds for [464, 340, 499] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 512 at 3792.765288591385 seconds for [478, 394, 493] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 516 at 3795.182202577591 seconds for [499, 462, 480] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 520 at 3797.748167991638 seconds for [526, 519, 473] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 524 at 3800.5516395568848 seconds for [555, 557, 525] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 528 at 3803.490790128708 seconds for [573, 582, 573] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 532 at 3806.5533900260925 seconds for [593, 594, 647] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 536 at 3809.870664358139 seconds for [621, 597, 699] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 540 at 3813.2762610912323 seconds for [664, 609, 715] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 544 at 3816.6906237602234 seconds for [724, 609, 712] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 548 at 3820.221691131592 seconds for [780, 606, 703] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 552 at 3823.853558063507 seconds for [849, 597, 672] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 556 at 3827.4533729553223 seconds for [893, 582, 663] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 560 at 3831.216138124466 seconds for [968, 564, 694] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 564 at 3835.137532711029 seconds for [1042, 551, 737] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 568 at 3839.176926612854 seconds for [1078, 541, 767] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 3843.307028055191 seconds for [1118, 533, 776] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 3847.3751368522644 seconds for [1145, 530, 767] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 3851.5554122924805 seconds for [1139, 574, 736] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 3855.778948545456 seconds for [1143, 677, 703] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 3860.1875331401825 seconds for [1123, 735, 736] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 3864.8819477558136 seconds for [1134, 741, 931] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 3869.9972088336945 seconds for [1185, 719, 1129] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 3875.3445234298706 seconds for [1096, 665, 1161] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 200 at 3926.960552930832 seconds for [10000, 10000, 10000] epochs and to a loss of ['2.147', '0.608', '0.515']
Trained 204 at 3975.9671421051025 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.931', '0.577', '0.429']
Trained 208 at 4024.8267765045166 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.883', '0.563', '0.411']
Trained 212 at 4073.742001056671 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.869', '0.558', '0.403']
Trained 216 at 4122.6636798381805 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.859', '0.556', '0.399']
Trained 220 at 4171.87637424469 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.86', '0.555', '0.398']
Trained 224 at 4220.628146886826 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.859', '0.555', '0.397']
Trained 228 at 4269.426716566086 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.855', '0.555', '0.396']
Trained 232 at 4318.388196468353 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.513', '0.555', '0.396']
Trained 236 at 4367.179795503616 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.49', '0.555', '0.394']
Trained 240 at 4415.701488018036 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.477', '0.555', '0.392']
Trained 244 at 4464.276195764542 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.468', '0.55', '0.393']
Trained 248 at 4515.63819026947 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.462', '0.55', '0.394']
Trained 252 at 4566.7918338775635 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.458', '0.55', '0.395']
Trained 256 at 4615.514188528061 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.454', '0.551', '0.398']
Trained 260 at 4664.290363788605 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.447', '0.553', '0.399']
Trained 264 at 4713.083167314529 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.443', '0.555', '0.4']
Trained 268 at 4761.885362863541 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.439', '0.557', '0.402']
Trained 272 at 4810.9142644405365 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.419', '0.56', '0.403']
Trained 276 at 4859.899314403534 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.416', '0.559', '0.404']
Trained 280 at 4908.431368589401 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.413', '0.556', '0.401']
Trained 284 at 4957.31981420517 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.409', '0.556', '0.403']
Trained 288 at 5006.180979728699 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.404', '0.556', '0.406']
Trained 292 at 5054.882670879364 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.401', '0.557', '0.41']
Trained 296 at 5104.020419836044 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.4', '0.556', '0.415']
Trained 300 at 5152.720575094223 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.4', '0.556', '0.422']
Trained 304 at 5201.371948719025 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.399', '0.556', '0.427']
Trained 308 at 5250.04088973999 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.399', '0.557', '0.43']
Trained 312 at 5298.661289691925 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.398', '0.558', '0.428']
Trained 316 at 5347.262189149857 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.398', '0.559', '0.42']
Trained 320 at 5398.001989126205 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.069', '0.561', '0.408']
Trained 324 at 5446.905385255814 seconds for [10000, 10000, 10000] epochs and to a loss of ['1.069', '0.561', '0.405']
Trained 328 at 5495.504343986511 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.741', '0.561', '0.401']
Trained 332 at 5544.046934127808 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.42', '0.559', '0.398']
Trained 336 at 5594.773117780685 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.416', '0.557', '0.396']
Trained 340 at 5640.2603549957275 seconds for [10000, 10000, 7936] epochs and to a loss of ['0.419', '0.555', '0.2']
Trained 344 at 5673.074339866638 seconds for [10000, 10000, 311] epochs and to a loss of ['0.422', '0.552', '0.2']
Trained 348 at 5707.044663906097 seconds for [10000, 10000, 790] epochs and to a loss of ['0.421', '0.55', '0.2']
Trained 352 at 5741.749985456467 seconds for [10000, 10000, 1333] epochs and to a loss of ['0.411', '0.549', '0.2']
Trained 356 at 5776.640855073929 seconds for [10000, 10000, 1440] epochs and to a loss of ['0.412', '0.548', '0.2']
Trained 360 at 5811.353007316589 seconds for [10000, 10000, 1392] epochs and to a loss of ['0.412', '0.547', '0.2']
