
Trained 200 at 43.88611674308777 seconds for [10000, 3675, 10000] epochs and to a loss of ['0.792', '0.2', '0.413']
Trained 288 at 488.3746156692505 seconds for [635, 1689, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 292 at 508.2501699924469 seconds for [649, 2052, 10000] epochs and to a loss of ['0.2', '0.2', '0.248']
Trained 296 at 529.1783554553986 seconds for [672, 2496, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 300 at 550.27676820755 seconds for [718, 2734, 10000] epochs and to a loss of ['0.2', '0.2', '0.243']
Trained 304 at 571.7333233356476 seconds for [733, 2887, 10000] epochs and to a loss of ['0.2', '0.2', '0.243']
Trained 308 at 593.2105791568756 seconds for [769, 3105, 10000] epochs and to a loss of ['0.2', '0.2', '0.243']
Trained 312 at 614.9648292064667 seconds for [787, 3325, 10000] epochs and to a loss of ['0.2', '0.2', '0.243']
Trained 316 at 637.3174221515656 seconds for [782, 3588, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 320 at 659.9251856803894 seconds for [780, 3784, 10000] epochs and to a loss of ['0.2', '0.2', '0.244']
Trained 324 at 682.1973810195923 seconds for [769, 3643, 10000] epochs and to a loss of ['0.2', '0.2', '0.246']
Trained 328 at 703.3326771259308 seconds for [744, 2932, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 332 at 723.2912456989288 seconds for [721, 2228, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 336 at 742.7324295043945 seconds for [675, 1925, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 340 at 761.8908319473267 seconds for [669, 1766, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 344 at 780.6008276939392 seconds for [689, 1459, 10000] epochs and to a loss of ['0.2', '0.2', '0.249']
Trained 348 at 801.2338497638702 seconds for [676, 1236, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 352 at 820.3032865524292 seconds for [678, 1100, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 356 at 838.3722870349884 seconds for [676, 990, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 360 at 856.4034521579742 seconds for [688, 933, 10000] epochs and to a loss of ['0.2', '0.2', '0.252']
Trained 364 at 874.5789771080017 seconds for [697, 860, 10000] epochs and to a loss of ['0.2', '0.2', '0.253']
Trained 368 at 892.4386928081512 seconds for [711, 836, 10000] epochs and to a loss of ['0.2', '0.2', '0.254']
Trained 372 at 910.4020204544067 seconds for [695, 817, 10000] epochs and to a loss of ['0.2', '0.2', '0.253']
Trained 376 at 928.8040840625763 seconds for [641, 799, 10000] epochs and to a loss of ['0.2', '0.2', '0.253']
Trained 380 at 946.9551911354065 seconds for [679, 836, 10000] epochs and to a loss of ['0.2', '0.2', '0.252']
Trained 384 at 965.2321650981903 seconds for [689, 902, 10000] epochs and to a loss of ['0.2', '0.2', '0.252']
Trained 388 at 983.4524216651917 seconds for [642, 959, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 392 at 1001.6814930438995 seconds for [581, 1010, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 396 at 1020.0657184123993 seconds for [518, 1061, 10000] epochs and to a loss of ['0.2', '0.2', '0.251']
Trained 400 at 1039.7463247776031 seconds for [447, 1066, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 404 at 1061.3180935382843 seconds for [378, 1077, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 408 at 1082.7640364170074 seconds for [339, 1077, 10000] epochs and to a loss of ['0.2', '0.2', '0.25']
Trained 412 at 1103.0229127407074 seconds for [350, 1028, 10000] epochs and to a loss of ['0.2', '0.2', '0.242']
Trained 416 at 1123.3651173114777 seconds for [343, 976, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 420 at 1143.8879861831665 seconds for [326, 915, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 424 at 1164.3860747814178 seconds for [326, 852, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 428 at 1184.8162033557892 seconds for [358, 780, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 432 at 1205.2401723861694 seconds for [362, 717, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 436 at 1225.2719144821167 seconds for [373, 682, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 440 at 1247.1038239002228 seconds for [364, 650, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 444 at 1267.538625240326 seconds for [383, 604, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 448 at 1287.9890475273132 seconds for [393, 570, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 452 at 1310.1275844573975 seconds for [414, 540, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 456 at 1329.028566122055 seconds for [419, 538, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 460 at 1350.925740480423 seconds for [427, 535, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 464 at 1372.1089868545532 seconds for [446, 541, 10000] epochs and to a loss of ['0.2', '0.2', '0.24']
Trained 468 at 1391.5687456130981 seconds for [445, 551, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 472 at 1414.5841524600983 seconds for [448, 564, 10000] epochs and to a loss of ['0.2', '0.2', '0.241']
Trained 476 at 1433.251101732254 seconds for [447, 577, 10000] epochs and to a loss of ['0.2', '0.2', '0.235']
Trained 480 at 1450.8852939605713 seconds for [436, 596, 10000] epochs and to a loss of ['0.2', '0.2', '0.233']
Trained 484 at 1469.4830448627472 seconds for [425, 612, 10000] epochs and to a loss of ['0.2', '0.2', '0.233']
Trained 488 at 1489.6768336296082 seconds for [392, 610, 10000] epochs and to a loss of ['0.2', '0.2', '0.233']
Trained 492 at 1508.2074007987976 seconds for [411, 791, 10000] epochs and to a loss of ['0.2', '0.2', '0.233']
Trained 496 at 1528.8459479808807 seconds for [413, 844, 10000] epochs and to a loss of ['0.2', '0.2', '0.232']
Trained 500 at 1548.4357521533966 seconds for [427, 1035, 10000] epochs and to a loss of ['0.199', '0.2', '0.226']
Trained 504 at 1569.4206535816193 seconds for [444, 1273, 10000] epochs and to a loss of ['0.2', '0.2', '0.225']
Trained 508 at 1588.6350803375244 seconds for [468, 1280, 10000] epochs and to a loss of ['0.2', '0.2', '0.225']
Trained 512 at 1609.3113415241241 seconds for [474, 1215, 10000] epochs and to a loss of ['0.2', '0.2', '0.225']
Trained 516 at 1629.0332384109497 seconds for [539, 1180, 10000] epochs and to a loss of ['0.2', '0.2', '0.225']
Trained 520 at 1650.124608039856 seconds for [580, 1161, 10000] epochs and to a loss of ['0.2', '0.2', '0.224']
Trained 524 at 1673.2245285511017 seconds for [632, 1151, 10000] epochs and to a loss of ['0.2', '0.2', '0.224']
Trained 528 at 1694.6965775489807 seconds for [656, 1049, 10000] epochs and to a loss of ['0.2', '0.2', '0.224']
Trained 532 at 1704.0885376930237 seconds for [661, 1093, 3161] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 536 at 1708.1600739955902 seconds for [674, 1124, 65] epochs and to a loss of ['0.2', '0.2', '0.199']
Trained 540 at 1711.8468036651611 seconds for [686, 1162, 87] epochs and to a loss of ['0.2', '0.2', '0.199']
Trained 544 at 1715.013105392456 seconds for [668, 1133, 182] epochs and to a loss of ['0.2', '0.2', '0.199']
Trained 548 at 1719.2077169418335 seconds for [657, 1121, 230] epochs and to a loss of ['0.2', '0.2', '0.199']
Trained 552 at 1723.3732478618622 seconds for [666, 1110, 282] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 556 at 1727.5870757102966 seconds for [643, 1120, 333] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 560 at 1731.8228406906128 seconds for [589, 1096, 379] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 564 at 1736.116128206253 seconds for [596, 1074, 422] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 568 at 1740.5338757038116 seconds for [624, 1041, 451] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 1744.8768723011017 seconds for [625, 1010, 454] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 1749.5481519699097 seconds for [652, 1058, 526] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 1754.1848313808441 seconds for [736, 1031, 597] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 1759.0210361480713 seconds for [820, 1079, 596] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 1764.3807427883148 seconds for [919, 1147, 667] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 1771.0689401626587 seconds for [1044, 1603, 765] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 1778.8648374080658 seconds for [1173, 1943, 840] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 1787.4952008724213 seconds for [1287, 1922, 880] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 200 at 1849.718147277832 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.468', '0.758', '0.546']
Trained 204 at 1909.2824561595917 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.414', '0.743', '0.439']
Trained 208 at 1964.4450135231018 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.404', '0.731', '0.419']
Trained 212 at 2021.8367280960083 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.399', '0.729', '0.412']
Trained 216 at 2073.1923339366913 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.398', '0.727', '0.41']
Trained 220 at 2125.65855383873 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.389', '0.727', '0.409']
Trained 224 at 2177.7039091587067 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.388', '0.721', '0.408']
Trained 228 at 2235.8647623062134 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.387', '0.72', '0.402']
Trained 232 at 2290.860595703125 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.72', '0.402']
Trained 236 at 2341.8459057807922 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.38', '0.72', '0.403']
Trained 240 at 2393.047084569931 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.38', '0.721', '0.404']
Trained 244 at 2441.5527770519257 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.38', '0.721', '0.405']
Trained 248 at 2489.090916156769 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.38', '0.722', '0.406']
Trained 252 at 2541.0875113010406 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.722', '0.408']
Trained 256 at 2594.053472995758 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.723', '0.41']
Trained 260 at 2646.6550126075745 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.724', '0.412']
Trained 264 at 2699.8599824905396 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.382', '0.725', '0.413']
Trained 268 at 2753.033210992813 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.723', '0.412']
Trained 272 at 2805.615660429001 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.723', '0.409']
Trained 276 at 2853.0981414318085 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.726', '0.404']
Trained 280 at 2901.0867309570312 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.381', '0.729', '0.4']
Trained 284 at 2954.7301642894745 seconds for [10000, 10000, 10000] epochs and to a loss of ['0.38', '0.733', '0.402']
Trained 288 at 2996.1169095039368 seconds for [3332, 10000, 10000] epochs and to a loss of ['0.198', '0.737', '0.398']
Trained 292 at 3031.707770586014 seconds for [90, 10000, 10000] epochs and to a loss of ['0.2', '0.742', '0.396']
Trained 296 at 3068.3974435329437 seconds for [161, 10000, 10000] epochs and to a loss of ['0.199', '0.744', '0.394']
Trained 300 at 3108.9956686496735 seconds for [255, 10000, 10000] epochs and to a loss of ['0.2', '0.745', '0.386']
Trained 304 at 3146.9887063503265 seconds for [406, 10000, 10000] epochs and to a loss of ['0.199', '0.74', '0.386']
Trained 308 at 3184.040830373764 seconds for [493, 10000, 10000] epochs and to a loss of ['0.2', '0.738', '0.386']
Trained 312 at 3220.7387342453003 seconds for [556, 10000, 10000] epochs and to a loss of ['0.2', '0.737', '0.387']
Trained 316 at 3257.510795354843 seconds for [585, 10000, 10000] epochs and to a loss of ['0.2', '0.736', '0.389']
Trained 320 at 3294.5749883651733 seconds for [591, 10000, 10000] epochs and to a loss of ['0.2', '0.734', '0.39']
Trained 324 at 3331.4297342300415 seconds for [618, 10000, 10000] epochs and to a loss of ['0.2', '0.733', '0.39']
Trained 328 at 3368.6121909618378 seconds for [665, 10000, 10000] epochs and to a loss of ['0.2', '0.731', '0.389']
Trained 332 at 3405.5086286067963 seconds for [704, 10000, 10000] epochs and to a loss of ['0.2', '0.728', '0.386']
Trained 336 at 3443.0126781463623 seconds for [730, 10000, 10000] epochs and to a loss of ['0.2', '0.726', '0.384']
Trained 340 at 3483.804754972458 seconds for [728, 10000, 10000] epochs and to a loss of ['0.2', '0.725', '0.382']
Trained 344 at 3518.992264509201 seconds for [755, 10000, 10000] epochs and to a loss of ['0.2', '0.723', '0.38']
Trained 348 at 3552.4545714855194 seconds for [779, 10000, 10000] epochs and to a loss of ['0.2', '0.722', '0.379']
Trained 352 at 3591.0493471622467 seconds for [822, 10000, 10000] epochs and to a loss of ['0.2', '0.722', '0.378']
Trained 356 at 3626.271111726761 seconds for [856, 10000, 10000] epochs and to a loss of ['0.2', '0.721', '0.377']
Trained 360 at 3663.2812378406525 seconds for [831, 10000, 10000] epochs and to a loss of ['0.2', '0.721', '0.376']
Trained 364 at 3698.910842895508 seconds for [806, 10000, 10000] epochs and to a loss of ['0.2', '0.721', '0.367']
Trained 368 at 3734.987987279892 seconds for [795, 10000, 10000] epochs and to a loss of ['0.2', '0.723', '0.367']
Trained 372 at 3768.484710454941 seconds for [767, 10000, 10000] epochs and to a loss of ['0.2', '0.725', '0.367']
Trained 376 at 3805.0326974391937 seconds for [728, 10000, 10000] epochs and to a loss of ['0.2', '0.729', '0.366']
Trained 380 at 3838.6216852664948 seconds for [678, 10000, 10000] epochs and to a loss of ['0.2', '0.41', '0.367']
Trained 384 at 3870.713568210602 seconds for [619, 10000, 10000] epochs and to a loss of ['0.2', '0.404', '0.366']
Trained 388 at 3902.986316680908 seconds for [553, 10000, 10000] epochs and to a loss of ['0.2', '0.4', '0.366']
Trained 392 at 3935.2119913101196 seconds for [540, 10000, 10000] epochs and to a loss of ['0.2', '0.392', '0.366']
Trained 396 at 3967.2109026908875 seconds for [537, 10000, 10000] epochs and to a loss of ['0.2', '0.391', '0.366']
Trained 400 at 3999.251106262207 seconds for [538, 10000, 10000] epochs and to a loss of ['0.2', '0.389', '0.366']
Trained 404 at 4031.532801628113 seconds for [602, 10000, 10000] epochs and to a loss of ['0.2', '0.388', '0.366']
Trained 408 at 4064.2499997615814 seconds for [646, 10000, 10000] epochs and to a loss of ['0.2', '0.386', '0.366']
Trained 412 at 4097.429999113083 seconds for [689, 10000, 10000] epochs and to a loss of ['0.2', '0.385', '0.367']
Trained 416 at 4129.65518450737 seconds for [710, 10000, 10000] epochs and to a loss of ['0.2', '0.385', '0.366']
Trained 420 at 4161.970422267914 seconds for [691, 10000, 10000] epochs and to a loss of ['0.2', '0.385', '0.367']
Trained 424 at 4194.384517431259 seconds for [669, 10000, 10000] epochs and to a loss of ['0.2', '0.385', '0.367']
Trained 428 at 4226.497684955597 seconds for [678, 10000, 10000] epochs and to a loss of ['0.2', '0.386', '0.369']
Trained 432 at 4258.671286344528 seconds for [659, 10000, 10000] epochs and to a loss of ['0.2', '0.386', '0.373']
Trained 436 at 4290.8161725997925 seconds for [642, 10000, 10000] epochs and to a loss of ['0.2', '0.387', '0.373']
Trained 440 at 4322.686505794525 seconds for [646, 10000, 10000] epochs and to a loss of ['0.2', '0.381', '0.373']
Trained 444 at 4354.337307929993 seconds for [641, 9825, 10000] epochs and to a loss of ['0.2', '0.199', '0.372']
Trained 448 at 4370.944491863251 seconds for [623, 84, 10000] epochs and to a loss of ['0.2', '0.2', '0.373']
Trained 452 at 4387.641844511032 seconds for [614, 200, 10000] epochs and to a loss of ['0.2', '0.2', '0.373']
Trained 456 at 4404.563688755035 seconds for [603, 319, 10000] epochs and to a loss of ['0.2', '0.199', '0.374']
Trained 460 at 4421.706899166107 seconds for [590, 481, 10000] epochs and to a loss of ['0.2', '0.2', '0.375']
Trained 464 at 4439.167922973633 seconds for [581, 703, 10000] epochs and to a loss of ['0.2', '0.2', '0.377']
Trained 468 at 4456.732043266296 seconds for [563, 790, 10000] epochs and to a loss of ['0.2', '0.2', '0.38']
Trained 472 at 4474.528911352158 seconds for [602, 896, 10000] epochs and to a loss of ['0.2', '0.2', '0.381']
Trained 476 at 4492.521544218063 seconds for [674, 979, 10000] epochs and to a loss of ['0.2', '0.2', '0.382']
Trained 480 at 4510.6330280303955 seconds for [726, 1016, 10000] epochs and to a loss of ['0.2', '0.2', '0.383']
Trained 484 at 4528.979789972305 seconds for [780, 1085, 10000] epochs and to a loss of ['0.2', '0.2', '0.389']
Trained 488 at 4547.651677131653 seconds for [842, 1177, 10000] epochs and to a loss of ['0.2', '0.2', '0.389']
Trained 492 at 4566.587334394455 seconds for [958, 1311, 10000] epochs and to a loss of ['0.2', '0.2', '0.384']
Trained 496 at 4586.3542740345 seconds for [1115, 1610, 10000] epochs and to a loss of ['0.2', '0.2', '0.381']
Trained 500 at 4606.995954275131 seconds for [1269, 2001, 10000] epochs and to a loss of ['0.2', '0.2', '0.38']
Trained 504 at 4627.97115945816 seconds for [1343, 2221, 10000] epochs and to a loss of ['0.2', '0.2', '0.38']
Trained 508 at 4649.2947154045105 seconds for [1414, 2299, 10000] epochs and to a loss of ['0.2', '0.2', '0.38']
Trained 512 at 4670.546308517456 seconds for [1393, 2282, 10000] epochs and to a loss of ['0.2', '0.2', '0.38']
Trained 516 at 4691.476492881775 seconds for [1367, 2119, 10000] epochs and to a loss of ['0.2', '0.2', '0.379']
Trained 520 at 4700.687699317932 seconds for [1259, 1845, 2790] epochs and to a loss of ['0.2', '0.2', '0.198']
Trained 524 at 4705.121739625931 seconds for [1118, 1622, 78] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 528 at 4709.606240510941 seconds for [972, 1476, 396] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 532 at 4714.590320110321 seconds for [855, 1362, 910] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 536 at 4719.467195272446 seconds for [759, 1273, 1024] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 540 at 4724.081333637238 seconds for [684, 1160, 1069] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 544 at 4728.503114461899 seconds for [598, 1143, 1067] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 548 at 4732.976462125778 seconds for [578, 1216, 1042] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 552 at 4737.572654247284 seconds for [596, 1331, 992] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 556 at 4742.17177772522 seconds for [614, 1360, 949] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 560 at 4746.880648851395 seconds for [624, 1434, 902] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 564 at 4751.457674980164 seconds for [619, 1418, 862] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 568 at 4756.180584192276 seconds for [649, 1517, 813] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 572 at 4760.897178649902 seconds for [706, 1548, 751] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 576 at 4765.592278718948 seconds for [751, 1536, 704] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 580 at 4770.199501514435 seconds for [773, 1502, 670] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 584 at 4774.895277023315 seconds for [775, 1539, 646] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 588 at 4779.381884098053 seconds for [771, 1435, 640] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 592 at 4783.859857559204 seconds for [742, 1424, 690] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 596 at 4789.916984081268 seconds for [689, 1566, 863] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 600 at 4795.664523601532 seconds for [661, 1741, 1165] epochs and to a loss of ['0.2', '0.2', '0.2']
Trained 200 at 4836.252620458603 seconds for [5351, 10000, 10000] epochs and to a loss of ['0.2', '0.964', '0.532']
Trained 204 at 4867.898225784302 seconds for [115, 10000, 10000] epochs and to a loss of ['0.2', '0.918', '0.439']
Trained 208 at 4899.004854917526 seconds for [191, 10000, 10000] epochs and to a loss of ['0.2', '0.906', '0.421']
Trained 212 at 4930.119413614273 seconds for [213, 10000, 10000] epochs and to a loss of ['0.2', '0.903', '0.414']
Trained 216 at 4961.4231498241425 seconds for [256, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.411']
Trained 220 at 4992.648237705231 seconds for [306, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.409']
Trained 224 at 5023.890846252441 seconds for [345, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.408']
Trained 228 at 5055.355352163315 seconds for [383, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.407']
Trained 232 at 5087.511946439743 seconds for [415, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.407']
Trained 236 at 5118.90803861618 seconds for [434, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.406']
Trained 240 at 5151.558171987534 seconds for [440, 10000, 10000] epochs and to a loss of ['0.2', '0.9', '0.406']
Trained 244 at 5183.354992389679 seconds for [424, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.406']
Trained 248 at 5214.936678886414 seconds for [391, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.406']
Trained 252 at 5246.420109033585 seconds for [361, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.406']
Trained 256 at 5277.915547132492 seconds for [334, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.406']
Trained 260 at 5309.346004009247 seconds for [313, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.406']
Trained 264 at 5340.785198688507 seconds for [297, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.405']
Trained 268 at 5372.120765924454 seconds for [284, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.405']
Trained 272 at 5403.475010871887 seconds for [287, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.405']
Trained 276 at 5434.906928062439 seconds for [310, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.404']
Trained 280 at 5466.440058469772 seconds for [328, 10000, 10000] epochs and to a loss of ['0.2', '0.902', '0.404']
Trained 284 at 5498.006907463074 seconds for [340, 10000, 10000] epochs and to a loss of ['0.2', '0.902', '0.403']
Trained 288 at 5529.56374502182 seconds for [346, 10000, 10000] epochs and to a loss of ['0.2', '0.902', '0.402']
Trained 292 at 5561.1541702747345 seconds for [344, 10000, 10000] epochs and to a loss of ['0.2', '0.903', '0.394']
Trained 296 at 5592.734548091888 seconds for [344, 10000, 10000] epochs and to a loss of ['0.2', '0.901', '0.391']
Trained 300 at 5624.2957491874695 seconds for [333, 10000, 10000] epochs and to a loss of ['0.2', '0.896', '0.39']
Trained 304 at 5658.6748769283295 seconds for [333, 10000, 10000] epochs and to a loss of ['0.2', '0.896', '0.389']
Trained 308 at 5690.1265461444855 seconds for [331, 10000, 10000] epochs and to a loss of ['0.2', '0.896', '0.388']
Trained 312 at 5721.376068115234 seconds for [331, 10000, 10000] epochs and to a loss of ['0.2', '0.896', '0.388']
Trained 316 at 5752.969500303268 seconds for [326, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.388']
Trained 320 at 5784.194797515869 seconds for [315, 10000, 10000] epochs and to a loss of ['0.2', '0.888', '0.388']
Trained 324 at 5815.351846456528 seconds for [319, 10000, 10000] epochs and to a loss of ['0.2', '0.888', '0.388']
Trained 328 at 5846.40997505188 seconds for [316, 10000, 10000] epochs and to a loss of ['0.2', '0.889', '0.388']
Trained 332 at 5877.60230755806 seconds for [311, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.388']
Trained 336 at 5908.904495477676 seconds for [304, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.388']
Trained 340 at 5940.259915113449 seconds for [296, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.388']
Trained 344 at 5971.546719551086 seconds for [291, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.388']
Trained 348 at 6002.79302573204 seconds for [287, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.386']
Trained 352 at 6034.075917482376 seconds for [288, 10000, 10000] epochs and to a loss of ['0.2', '0.89', '0.382']
Trained 356 at 6065.777989149094 seconds for [291, 10000, 10000] epochs and to a loss of ['0.2', '0.889', '0.382']
Trained 360 at 6097.023136377335 seconds for [293, 10000, 10000] epochs and to a loss of ['0.2', '0.888', '0.382']
Trained 364 at 6128.257018566132 seconds for [296, 10000, 10000] epochs and to a loss of ['0.2', '0.88', '0.382']
